Position,Artist Name,Song Name,Days,Peak Position,Total Streams
6345,Flo Rida ,Hello Friday,8,71,1129770
6346,Taylor Swift ,All Too Well (Sad Girl Autumn Version)  Recorded at Long Pond Studios,2,8,1128515
6347,Kendrick Lamar ,Backseat Freestyle,19,158,1127914
6348,Chris Brown ,Go Crazy (Remix),4,67,1126473
6349,Kid Cudi ,By Design,6,114,1126312
6350,Lil Durk ,Stay Down,4,61,1125921
6351,Chance the Rapper ,Get A Bag,4,71,1125885
6352,Bad Bunny ,RONCA FREESTYLE,4,60,1125368
6353,Halsey ,Drive,11,86,1123949
6354,Polo G ,First Place,4,126,1122921
6355,Imagine Dragons ,Start Over,5,59,1122497
6356,Soundgarden ,Black Hole Sun,3,46,1121991
6357,Beyoncé ,Love Drought,3,56,1120531
6358,A Boogie Wit da Hoodie ,Secrets,4,177,1119749
6359,Lil Baby ,This Week,3,65,1116822
6360,Sia ,Reaper,9,92,1115180
6361,Shawn Mendes ,No Promises,7,94,1114940
6362,Mac Miller ,So It Goes,4,69,1114807
6363,Fivio Foreign ,Changed On Me,4,50,1114282
6364,Pierce The Veil ,Pass The Nirvana,3,39,1113725
6365,Anderson .Paak ,Make It Better,4,103,1113655
6366,Lil Wayne ,Bing James (ft. Jay Rock),3,58,1113021
6367,The 1975 ,TOOTIMETOOTIMETOOTIME,4,82,1112771
6368,Justin Bieber ,Red Eye,4,40,1112162
6369,Kendrick Lamar ,untitled 06 | 06.30.2014.,7,57,1111926
6370,Roddy Ricch ,Aston Martin Truck,4,105,1111398
6371,Meek Mill ,Been That,10,62,1111009
6372,ZAYN ,fOoL fOr YoU,7,74,1110562
6373,Young Thug ,Killed Before,5,104,1110354
6374,Lady Gaga ,Diamond Heart,7,74,1110307
6375,Jennifer Lopez ,Booty,20,136,1110133
6376,G Herbo ,Who Run It (Remix) [Feat. Lil Uzi Vert],4,130,1109671
6377,Wale ,My Boy,4,68,1108305
6378,Wiz Khalifa ,Contact,4,84,1108077
6379,SZA ,Drew Barrymore,6,168,1107968
6380,Eminem ,Need Me,4,77,1107755
6381,Future ,XanaX Damage,3,31,1107706
6382,Dreamville ,"Ladies, Ladies, Ladies",4,66,1106785
6383,Anderson .Paak ,Lockdown,4,63,1106700
6384,Bruno Mars ,Perm,7,100,1106203
6385,DJ Khaled ,Freak N You,4,79,1104373
6386,Quality Control ,Double Trouble (Quavo feat. Meek Mill),4,99,1103004
6387,Ugly God ,Stop Smoking Black & Milds,6,113,1102115
6388,YoungBoy Never Broke Again ,In Control,5,159,1101147
6389,Lil Tjay ,Move On,4,102,1099978
6390,RM ,Wild Flower,3,85,1099829
6391,Linkin Park ,One More Light,5,74,1098918
6392,Gunna ,MOTW,3,39,1097670
6393,Trippie Redd ,PILL BREAKER,4,44,1097472
6394,Shawn Mendes ,Don't Be A Fool,7,109,1097380
6395,Future ,Bought A Bad Bitch,3,31,1097331
6396,Nio Garcia ,AM,5,175,1096484
6397,Taylor Swift ,So It Goes...,5,142,1094539
6398,Talking Heads ,Psycho Killer  2005 Remastered Version,4,90,1092301
6399,NAV ,Status,3,33,1092202
6400,Vince Guaraldi Trio ,What Child Is This,3,143,1090789
6401,Eartha Kitt ,Santa Baby,7,50,1090694
6402,Future ,LIKE ME,4,102,1090659
6403,Maroon 5 ,Sugar  Remix,12,102,1090068
6404,SiM ,The Rumbling,4,113,1089655
6405,Logic ,5 Hooks,3,59,1089390
6406,MKTO ,Bad Girls,12,104,1088466
6407,Lil Eazzyy ,Onna Come Up,5,165,1087967
6408,DMX ,Slippin',3,55,1087412
6409,Kehlani ,Everybody Business,3,54,1086720
6410,Young Money ,Trophies,18,146,1086377
6411,Brett Eldredge ,Wanna Be That Song,7,182,1086166
6412,Morgan Wallen ,Need A Boat,4,89,1086152
6413,Eminem ,Alfred  Outro,3,88,1085446
6414,FLETCHER ,Live Young Die Free,10,117,1085244
6415,Rod Wave ,Already Won,4,87,1085102
6416,Halsey ,SUGA's Interlude,3,54,1084832
6417,Juice WRLD ,Eminem Speaks,2,31,1084804
6418,Lil Peep ,16 Lines,4,90,1084134
6419,Justin Timberlake ,Higher Higher,4,74,1083875
6420,Zedd ,True Colors,7,73,1082519
6421,Cochise ,Hatchback,5,171,1082026
6422,Sam Hunt ,Drinkin' Too Much,6,93,1080212
6423,John Mayer ,Changing,5,47,1079991
6424,Backstreet Boys ,Everybody (Backstreet's Back),3,59,1079605
6425,Young Thug ,Boy Back,4,76,1079215
6426,Bon Iver ,"Hey, Ma",4,108,1078684
6427,Gucci Mane ,Make Love,6,159,1078654
6428,Halsey ,The Tradition,4,54,1077896
6429,iann dior ,let you,4,103,1077644
6430,Joji ,Reanimator,4,86,1077134
6431,Don Toliver ,Euphoria,3,61,1076410
6432,Logic ,Slave,7,105,1076387
6433,John Denver ,We Wish You A Merry Christmas,3,80,1076337
6434,Lady Gaga ,1000 Doves,3,46,1075670
6435,Rodney Atkins ,Caught Up In The Country,5,154,1073952
6436,Imagine Dragons ,Gold,14,82,1073629
6437,Peggy Lee ,The Christmas List,3,122,1073140
6438,Taylor Swift ,Dancing With Our Hands Tied,5,151,1073045
6439,Young Thug ,Day Before,4,75,1071185
6440,ZAYN ,TiO,7,96,1070119
6441,Drake ,I Get Lonely,3,44,1069864
6442,Perry Como ,Christmas Dream,3,121,1069179
6443,A$AP Ferg ,Value,4,127,1068612
6444,Luke Combs ,Tomorrow Me,3,54,1068611
6445,A$AP Rocky ,Kids Turned Out Fine,3,61,1067802
6446,Lana Del Rey ,In My Feelings,5,119,1067696
6447,$uicideboy$ ,NEW PROFILE PIC,4,83,1067497
6448,Aminé ,Compensating,4,105,1066062
6449,ScHoolboy Q ,Water,4,77,1065903
6450,Martin Garrix ,High On Life,5,174,1065658
6451,Mumford & Sons ,Hot Gates,10,64,1065261
6452,Bryson Tiller ,Sorrows,3,55,1064701
6453,Ozuna ,Me Dijeron,4,102,1063604
6454,Shawn Mendes ,Patience,6,71,1062133
6455,Conan Gray ,Telepath,4,59,1061855
6456,G,Eazy  Don't Let Me Go,8,95,1061651
